-60,0
0,0
0,38
-60,38
-60,0
-47.4718,38.993
-12.5282,37.007
-5.15165,166.798
-40.0953,168.784
-47.4718,38.993
-40.1223,167.586
-5.12465,167.995
-6.64224,297.986
-41.6399,297.577
-40.1223,167.586
-39.3716,306.4
-8.91048,289.163
35.4136,367.492
4.95251,384.729
-39.3716,306.4
0.01,0
60.01,0
60.01,38
0.01,38
0.01,0
13.6558,44.2282
46.3642,31.7718
92.6308,153.26
59.9224,165.716
13.6558,44.2282
59.6143,164.838
92.9388,154.139
132.68,277.915
99.355,288.615
59.6143,164.838
100.336,291.033
131.699,275.497
171.65,356.143
140.288,371.68
100.336,291.033
